Student-name,student_id,cgpa,coding_skill,communication_skill,aptitude_skill,problem_solving,projects_count,internship_count,internship_company_level,certification_count,certification_company_level,technical_skills,tools_known,placement_probability,placement_status
Student_197,STU100196,8.63,9,5,10,1,0,4,0,1,1,10,3,77.91,1
Student_198,STU100197,9.49,9,8,10,3,3,4,0,7,1,11,4,90.39,1
Student_199,STU100198,9.44,3,8,10,3,6,4,1,1,1,1,5,78.29,1
Student_200,STU100199,8.9,4,4,10,6,5,3,2,1,2,8,2,73.87,1
Student_201,STU100200,8.21,7,9,8,4,1,3,2,8,0,7,12,79.64,1
Student_202,STU100201,5.42,2,1,7,4,2,2,0,3,0,11,12,42.49,0
Student_203,STU100202,5.81,3,5,2,1,0,1,0,6,1,8,12,42.33,0
Student_204,STU100203,9.49,6,5,1,10,2,4,1,3,1,1,12,75.65,1
Student_205,STU100204,8.03,8,5,6,4,2,1,2,4,1,6,7,71.56,1
Student_206,STU100205,5.05,1,8,8,1,6,2,2,0,1,5,12,50.66,1
Student_207,STU100206,5.51,4,9,1,5,5,2,1,0,2,2,4,57.02,1
Student_208,STU100207,8.32,1,3,3,3,3,4,2,2,2,8,11,51.16,1
Student_209,STU100208,5.03,2,9,1,10,2,1,1,5,1,10,14,53.98,1
Student_210,STU100209,5.8,8,8,10,5,5,2,2,0,2,2,1,75.75,1
Student_211,STU100210,7.74,6,3,9,3,0,0,1,3,1,2,4,63.03,1
Student_212,STU100211,8.46,9,2,7,5,6,3,1,8,0,9,9,76.1,1
Student_213,STU100212,8.26,2,4,8,4,5,1,0,1,1,6,13,61.13,1
Student_214,STU100213,6.12,3,2,9,9,5,4,2,1,2,3,14,60.01,1
Student_215,STU100214,8.56,9,4,3,6,5,2,0,1,0,9,5,75.36,1
Student_216,STU100215,6.19,9,5,10,10,6,2,1,6,2,2,2,80.7,1
Student_217,STU100216,6.63,6,2,2,2,4,2,1,6,2,8,12,51.26,1
Student_218,STU100217,8.73,3,8,6,1,5,3,1,5,2,4,6,67.53,1
Student_219,STU100218,8.25,5,1,5,1,2,1,2,1,0,10,7,54.29,1
Student_220,STU100219,9.25,2,3,4,1,5,2,0,4,1,2,2,55.99,1
Student_221,STU100220,8.29,7,7,6,9,3,3,1,5,0,5,10,81.09,1
Student_222,STU100221,7.84,10,10,6,5,1,0,2,5,0,3,2,83.84,1
Student_223,STU100222,5.47,8,1,3,4,2,1,1,5,2,9,10,51.19,1
Student_224,STU100223,6.84,6,2,2,10,5,4,1,5,0,8,3,62.86,1
Student_225,STU100224,6.33,8,3,9,5,5,1,1,0,0,6,12,67.64,1
Student_226,STU100225,6.22,2,2,8,9,3,2,1,3,2,6,11,54.73,1
Student_227,STU100226,9.87,3,2,4,3,2,4,0,0,1,9,10,60.72,1
Student_228,STU100227,6.97,7,6,6,3,4,1,1,2,0,2,4,66.78,1
Student_229,STU100228,9.46,10,7,3,2,4,4,1,1,2,7,5,82.33,1
Student_230,STU100229,8.16,1,6,8,8,0,1,0,1,1,11,3,63.57,1
Student_231,STU100230,8.97,7,6,3,7,4,0,0,5,1,3,13,75.29,1
Student_232,STU100231,7.51,6,9,2,2,6,0,1,0,1,3,4,66.66,1
Student_233,STU100232,7.88,8,8,7,4,6,0,0,3,1,4,7,78.9,1
Student_234,STU100233,7.46,7,8,3,7,3,1,0,8,0,5,6,72.7,1
Student_235,STU100234,5.98,4,6,9,1,4,4,0,2,0,5,2,58.88,1
Student_236,STU100235,8.61,3,5,3,1,3,0,0,7,2,10,12,55.71,1
Student_237,STU100236,6.4,3,9,8,8,2,3,1,8,0,1,7,68.49,1
Student_238,STU100237,5.12,4,2,2,6,0,3,2,1,0,10,2,43.57,0
Student_239,STU100238,8.23,9,7,9,2,5,0,2,4,0,6,13,80.29,1
Student_240,STU100239,5.89,9,6,1,10,5,0,1,5,1,11,12,69.3,1
Student_241,STU100240,9.7,2,7,3,10,5,2,2,4,0,11,12,73.65,1
Student_242,STU100241,9.77,5,4,2,1,0,3,0,5,2,2,12,62.02,1
Student_243,STU100242,9.57,1,9,7,3,5,3,2,4,0,2,3,71.43,1
Student_244,STU100243,6.85,4,7,5,4,4,0,1,6,1,9,1,60.64,1
Student_245,STU100244,5.08,2,2,8,5,6,2,2,4,2,1,6,47.37,0
Student_246,STU100245,9.64,8,4,2,10,5,4,1,4,1,2,11,81.91,1
Student_247,STU100246,7.14,4,5,8,3,5,2,2,6,0,10,13,62.35,1
Student_248,STU100247,9.83,5,2,7,5,1,2,0,2,2,9,10,69.06,1
Student_249,STU100248,9.82,4,10,5,7,6,3,0,6,1,4,13,83.76,1
Student_250,STU100249,9.27,5,8,2,9,4,0,0,7,1,4,4,76.48,1
Student_251,STU100250,6.47,5,1,10,5,5,0,2,4,1,11,9,58.56,1
Student_252,STU100251,6.93,5,3,7,4,1,0,2,3,0,10,4,56.98,1
Student_253,STU100252,9.26,3,1,10,10,4,2,2,1,0,9,11,71.33,1
Student_254,STU100253,6.58,7,5,4,9,3,2,0,4,2,5,10,68.07,1
Student_255,STU100254,5.85,3,8,4,8,3,1,2,5,1,4,6,59.5,1
Student_256,STU100255,7.78,2,7,8,5,5,4,2,8,1,9,8,67.16,1
Student_257,STU100256,9.68,3,9,6,9,5,1,1,5,2,4,5,80.94,1
Student_258,STU100257,8.48,3,2,9,9,1,4,0,5,1,4,3,67.11,1
Student_259,STU100258,7.85,8,8,2,1,0,1,2,5,0,7,9,66.87,1
Student_260,STU100259,5.49,4,8,5,6,1,1,1,7,0,10,11,58.07,1
Student_261,STU100260,8.08,3,6,6,5,2,1,1,5,2,10,3,63.25,1
Student_262,STU100261,9.95,10,3,8,6,0,1,1,0,1,1,9,83.71,1
Student_263,STU100262,5.7,5,2,4,10,1,2,0,0,0,3,13,54.94,1
Student_264,STU100263,7.59,4,8,7,3,6,4,1,1,0,10,2,69.81,1
Student_265,STU100264,9.39,9,6,7,3,6,1,0,0,1,11,11,83.19,1
Student_266,STU100265,8.7,8,4,4,10,2,1,1,2,2,4,8,77.05,1
Student_267,STU100266,8.49,7,5,1,5,2,0,2,2,0,8,12,66.01,1
Student_268,STU100267,8.51,8,5,3,7,6,2,0,3,0,9,13,76.3,1
Student_269,STU100268,6.8,5,9,2,4,5,3,0,5,1,1,13,64.97,1
Student_270,STU100269,6.47,4,9,3,6,6,0,2,6,2,3,6,63.66,1
Student_271,STU100270,9.05,7,8,5,5,4,3,1,8,0,3,14,80.71,1
Student_272,STU100271,9.05,1,8,1,2,5,1,0,7,1,8,9,58.6,1
Student_273,STU100272,9.34,6,2,5,1,1,4,0,5,0,5,5,63.71,1
Student_274,STU100273,9.57,8,3,2,6,6,3,0,8,0,5,14,75.4,1
Student_275,STU100274,7.56,7,8,4,5,3,3,0,3,0,11,4,73.09,1
Student_276,STU100275,7.51,2,5,6,9,6,3,0,5,0,8,13,64.96,1
Student_277,STU100276,8.99,7,7,9,7,5,4,2,6,2,6,2,86.7,1
Student_278,STU100277,8.25,6,8,10,1,4,0,0,1,2,6,1,74.7,1
Student_279,STU100278,8.51,5,6,6,10,5,2,0,0,1,7,4,77.43,1
Student_280,STU100279,8.98,4,5,10,6,5,4,2,7,0,10,8,76.46,1
Student_281,STU100280,9.45,1,8,2,7,6,0,1,7,2,1,10,66.99,1
Student_282,STU100281,6.69,2,1,8,3,0,1,0,6,2,9,9,45.83,0
Student_283,STU100282,6.88,7,1,5,9,6,0,2,8,1,5,1,64.16,1
Student_284,STU100283,5.47,10,1,9,2,6,3,2,8,1,8,2,63.66,1
Student_285,STU100284,7.89,3,3,10,1,6,0,1,2,1,10,13,59.09,1
Student_286,STU100285,5.18,5,10,9,10,3,0,0,0,2,6,12,72.15,1
Student_287,STU100286,7.33,8,6,4,10,2,1,0,8,0,6,12,75.01,1
Student_288,STU100287,7.71,8,6,1,9,0,1,1,0,1,4,3,70.85,1
Student_289,STU100288,6.43,6,5,9,7,6,0,2,0,2,3,8,69.17,1
Student_290,STU100289,7.95,5,7,9,10,6,4,2,4,1,2,11,82.01,1
Student_291,STU100290,5.15,2,5,8,1,4,1,2,1,0,10,9,46.52,0
Student_292,STU100291,5.19,9,2,5,4,5,3,1,1,1,11,3,59.15,1
Student_293,STU100292,9.11,1,4,5,10,2,4,1,4,2,4,12,65.64,1
Student_294,STU100293,6.8,2,1,10,3,5,0,2,6,2,1,4,50.8,1
Student_295,STU100294,5.64,1,7,6,7,2,3,0,5,1,6,8,54.13,1
Student_296,STU100295,7.61,4,4,1,5,2,3,0,4,1,11,3,55.71,1
Student_297,STU100296,8.85,4,4,9,9,3,4,2,2,0,7,11,75.38,1
Student_298,STU100297,6.08,5,4,5,3,4,0,0,8,1,5,6,53.61,1
Student_299,STU100298,8.11,5,3,7,6,4,3,2,7,1,10,14,67.34,1
Student_300,STU100299,5.43,8,8,8,10,5,1,2,2,0,10,1,77.11,1
Student_301,STU100300,5.26,3,4,5,2,6,1,0,6,0,10,12,46.39,0
Student_302,STU100301,7.66,6,8,3,3,3,4,0,2,0,1,7,68.39,1
Student_303,STU100302,7.7,3,9,6,4,4,1,1,5,0,3,14,66.84,1
Student_304,STU100303,8.19,2,1,7,6,2,2,0,2,2,6,5,55.75,1
Student_305,STU100304,8.63,8,4,4,1,2,0,0,7,1,7,4,66.0,1
Student_306,STU100305,9.88,1,6,9,6,5,3,0,2,2,9,8,73.23,1
Student_307,STU100306,7.58,9,8,4,4,2,3,0,4,1,2,8,76.01,1
Student_308,STU100307,6.61,7,6,10,8,4,4,2,2,2,3,7,77.26,1
Student_309,STU100308,8.98,10,6,2,9,1,4,0,7,2,4,1,83.83,1
Student_310,STU100309,6.35,4,10,9,8,0,3,2,8,1,5,10,72.26,1
Student_311,STU100310,7.19,3,4,4,8,1,1,2,5,2,7,6,56.88,1
Student_312,STU100311,5.39,6,9,4,2,3,4,1,3,0,6,3,61.08,1
Student_313,STU100312,5.13,9,7,10,10,1,2,2,3,2,5,8,77.06,1
Student_314,STU100313,9.81,9,6,1,2,6,4,0,4,2,6,10,78.62,1
Student_315,STU100314,9.18,4,1,2,6,5,1,1,2,1,1,3,59.68,1
Student_316,STU100315,8.48,10,2,3,5,1,0,1,3,2,8,11,69.37,1
Student_317,STU100316,7.04,5,6,7,6,6,2,1,3,2,7,8,68.76,1
Student_318,STU100317,5.87,9,1,9,9,5,4,2,0,2,3,5,70.92,1
Student_319,STU100318,5.78,2,5,5,10,3,0,2,0,2,2,5,54.69,1
Student_320,STU100319,6.25,2,1,4,7,1,0,2,8,2,9,8,44.08,0
Student_321,STU100320,7.75,5,3,2,5,0,3,1,2,1,5,3,56.84,1
Student_322,STU100321,8.57,1,7,7,10,4,1,2,4,0,9,4,70.3,1
Student_323,STU100322,8.3,8,5,6,7,6,3,2,1,0,9,1,79.43,1
Student_324,STU100323,6.4,5,10,7,8,3,1,1,0,1,3,9,73.02,1
Student_325,STU100324,9.77,10,1,8,1,1,0,1,6,2,3,3,73.93,1
Student_326,STU100325,8.69,2,1,9,10,2,4,0,8,2,9,8,65.67,1
Student_327,STU100326,7.77,9,8,10,7,2,1,1,3,1,3,1,85.83,1
Student_328,STU100327,8.06,2,9,5,4,3,1,1,3,0,7,1,64.3,1
Student_329,STU100328,7.1,7,7,5,5,2,0,1,2,2,3,12,68.43,1
